x,y,z
2.904744851712723630e+01,3.372946866537066057e+01,7.661578869160877048e+01
2.913231609716938308e+01,3.165364996190325542e+01,7.830936001736382934e+01
2.916368978931178191e+01,2.947206716228601309e+01,7.984358209601961676e+01
2.914069670511689125e+01,2.719596583504723952e+01,8.121081360762948975e+01
2.906283626761211636e+01,2.483725138382015629e+01,8.240513317808787974e+01
2.892998021128983410e+01,2.240848904734333047e+01,8.342233937913005093e+01
2.874237258210737167e+01,1.992290389946017726e+01,8.425995072833228505e+01
2.850062973748702078e+01,1.739438084911947513e+01,8.491720568911179612e+01
2.820574034631601990e+01,1.483746464037486490e+01,8.539506267072678725e+01
2.785802641184466566e+01,1.227715703007694259e+01,8.569029962165359393e+01
2.745811082846347517e+01,9.743139171947548860e+00,8.580200002885396771e+01
2.700829667435041870e+01,7.252291554813071528e+00,8.573912278145570554e+01
2.651104507972268109e+01,4.819801302137513233e+00,8.551131378431099961e+01
2.596896979083911816e+01,2.459208034222738704e+00,8.512887401656838904e+01
2.538483717000017492e+01,1.824038682080235674e-01,8.460275953167278828e+01
2.476156619554797444e+01,-2.000366581929498011e+00,8.394458145736550136e+01
2.410222846186622192e+01,-4.080506205375268536e+00,8.316660599568410817e+01
2.341004817938031479e+01,-6.051065394476893289e+00,8.228175442296264919e+01
2.268840217455721486e+01,-7.906742044744525799e+00,8.130360308983142659e+01
2.194081988990557264e+01,-9.643881554850533888e+00,8.024638342121718892e+01
2.117098338397566692e+01,-1.126047682662970217e+01,7.912498191634303168e+01
2.038272733135935511e+01,-1.275616826507923918e+01,7.795494014872832622e+01
1.957988094776287724e+01,-1.413229497766220355e+01,7.675175565028671087e+01
1.876496136351428845e+01,-1.539215354138926628e+01,7.552442497584597447e+01
1.794080956397284865e+01,-1.653964941718468040e+01,7.428219402630266188e+01
1.711029899240246621e+01,-1.757898178354959740e+01,7.303439335386542552e+01
1.627611255736186990e+01,-1.851470387646811133e+01,7.178955995088554687e+01
1.544074263270447034e+01,-1.935172298940745605e+01,7.055543724985668064e+01
1.460649105757850563e+01,-2.009530047331784175e+01,6.933897512341505376e+01
1.377546913642688509e+01,-2.075105173663259706e+01,6.814632988433929484e+01
1.294959763898735616e+01,-2.132494624526803406e+01,6.698286428555064731e+01
1.213060680029233929e+01,-2.182330752262356910e+01,6.585314752011268524e+01
1.132003632066907528e+01,-2.225281314958162682e+01,6.476095522123164017e+01
1.051923536573949214e+01,-2.262049476450771834e+01,6.370926946225607423e+01
9.729363428471090813e+00,-2.293372948722916149e+01,6.270027994004588834e+01
8.951582677584069003e+00,-2.319741234068218461e+01,6.173560635512085071e+01
8.186738520673818797e+00,-2.341505524988729547e+01,6.081592366798079041e+01
7.435398126599540802e+00,-2.359127480933378962e+01,5.994140089767252277e+01
6.698063903973981326e+00,-2.373041854950837504e+01,5.911206085133316890e+01
5.975173501163295597e+00,-2.383656493689520062e+01,5.832778012419001357e+01
5.267099806287188990e+00,-2.391352337397581351e+01,5.758828909956064024e+01
4.574150947218770469e+00,-2.396483419922921243e+01,5.689317194885280315e+01
3.896570291584699142e+00,-2.399376868713180144e+01,5.624186663156454102e+01
3.234536446765046591e+00,-2.400332904815741841e+01,5.563366489528406333e+01
2.588163259893418555e+00,-2.399624842877732078e+01,5.506771227568987115e+01
1.957499817856847457e+00,-2.397499091146018912e+01,5.454300809655066473e+01
1.342530447295896323e+00,-2.394175151467213070e+01,5.405840546972537908e+01
7.431747146045477592e-01,-2.389845619287667233e+01,5.361261129516317681e+01
1.592874259303265205e-01,-2.384676183653477821e+01,5.320418626090348369e+01
-4.093413728258283868e-01,-2.378805627210481788e+01,5.283154484307589627e+01
-9.629863960094429132e-01,-2.372345826204259467e+01,5.249295530590030268e+01
-1.501986204135775660e+00,-2.365386646323770492e+01,5.218659623871747755e+01
-2.026670348572286340e+00,-2.358081401805089783e+01,5.191184282127625949e+01
-2.537280266450269384e+00,-2.350492750564460920e+01,5.166786942359005508e+01
-3.034047391807276561e+00,-2.342637633500413941e+01,5.145348292911022980e+01
-3.517202019919357436e+00,-2.334530121510563205e+01,5.126750888118345273e+01
-3.986973307301153291e+00,-2.326181415491608107e+01,5.110879148305171071e+01
-4.443589271705807420e+00,-2.317599846339334135e+01,5.097619359785228710e+01
-4.887276792125051728e+00,-2.308790874948610750e+01,5.086859674861778302e+01
-5.318261608789120132e+00,-2.299757092213393506e+01,5.078490111827610320e+01
-5.736768323166836048e+00,-2.290498219026721571e+01,5.072402554965044885e+01
-6.143020397965527124e+00,-2.281011106280721634e+01,5.068490754545934607e+01
-6.537240157131107843e+00,-2.271289734866602927e+01,5.066650326831662454e+01
-6.919648785847996919e+00,-2.261325215674661493e+01,5.066778754073141755e+01
-7.290466330539199014e+00,-2.251105789594278050e+01,5.068775384510816906e+01
-7.649911698866225684e+00,-2.240616827513917997e+01,5.072541432374662662e+01
-7.998202659729174435e+00,-2.229840830321132472e+01,5.077979977884184848e+01
-8.335555843266647003e+00,-2.218757428902557294e+01,5.084995967248420357e+01
-8.662186740855830180e+00,-2.207343384143913312e+01,5.093496212665935730e+01
-8.978309705112424766e+00,-2.195572586930007475e+01,5.103389392324830709e+01
-9.284137949890698849e+00,-2.183416058144729988e+01,5.114586050402732553e+01
-9.579883550283454952e+00,-2.170841948671058574e+01,5.126998597066802432e+01
-9.865757442622047790e+00,-2.157815539391053505e+01,5.140541308473729742e+01
-1.014197640439170200e+01,-2.144303962255533946e+01,5.155130544086526356e+01
-1.040870682537836878e+01,-2.130289164831917503e+01,5.170680683385559462e+01
-1.066595201669535165e+01,-2.115721861624961875e+01,5.187098876650059509e+01
-1.091370381752650687e+01,-2.100552338028023769e+01,5.204292691431086126e+01
-1.115195890009569091e+01,-2.084735929032940049e+01,5.222170857061389881e+01
-1.138071876966679419e+01,-2.068233019230024183e+01,5.240643264655415834e+01
-1.159998976454371089e+01,-2.051009042808070149e+01,5.259620967109297851e+01
-1.180978305607037093e+01,-2.033034483554347815e+01,5.279016179100864292e+01
-1.201011464863070444e+01,-2.014284874854608276e+01,5.298742277089633745e+01
-1.220100537964868259e+01,-1.994740799693077804e+01,5.318713799316818580e+01
-1.238248091958827857e+01,-1.974387890652463540e+01,5.338846445805321395e+01
-1.255457177195348351e+01,-1.953216829913951003e+01,5.359057078359737147e+01
-1.271731327328832251e+01,-1.931223349257201605e+01,5.379263720566354579e+01
